,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[190],0.935,0.026,0.887,0.98,0.0,0.0,36295.0,18962.0,1.0
p_pain[191],0.928,0.03,0.871,0.978,0.0,0.0,43751.0,18608.0,1.0
p_pain[192],0.986,0.01,0.968,0.999,0.0,0.0,36739.0,18795.0,1.0
p_pain[193],0.787,0.038,0.717,0.86,0.0,0.0,43751.0,18608.0,1.0
p_pain[194],0.45,0.074,0.31,0.585,0.0,0.0,31108.0,14607.0,1.0
p_pain[195],0.233,0.063,0.117,0.348,0.0,0.0,25968.0,13769.0,1.0
p_pain[196],0.832,0.045,0.744,0.909,0.0,0.0,47002.0,18386.0,1.0
p_pain[197],0.45,0.074,0.31,0.585,0.0,0.0,31108.0,14607.0,1.0
p_pain[198],0.888,0.035,0.822,0.951,0.0,0.0,42288.0,18703.0,1.0
p_pain[199],0.55,0.061,0.436,0.665,0.0,0.0,35620.0,16890.0,1.0
p_pain[200],0.366,0.082,0.214,0.517,0.0,0.0,28976.0,14914.0,1.0
p_pain[201],0.664,0.047,0.578,0.754,0.0,0.0,45253.0,18827.0,1.0
p_pain[202],0.901,0.038,0.832,0.969,0.0,0.0,46462.0,18124.0,1.0
p_pain[203],0.982,0.012,0.96,0.998,0.0,0.0,34057.0,18684.0,1.0
p_pain[204],0.995,0.005,0.986,1.0,0.0,0.0,32983.0,18708.0,1.0
p_pain[205],0.968,0.018,0.935,0.994,0.0,0.0,36991.0,18698.0,1.0
p_pain[206],0.972,0.017,0.941,0.997,0.0,0.0,41075.0,18338.0,1.0
p_pain[207],0.787,0.038,0.717,0.86,0.0,0.0,43751.0,18608.0,1.0
p_pain[208],0.935,0.026,0.887,0.98,0.0,0.0,36295.0,18962.0,1.0
p_pain[209],0.832,0.045,0.744,0.909,0.0,0.0,47002.0,18386.0,1.0
p_pain[210],0.986,0.01,0.968,0.999,0.0,0.0,36739.0,18795.0,1.0
p_pain[211],0.991,0.007,0.978,0.999,0.0,0.0,34858.0,18683.0,1.0
p_pain[212],0.698,0.068,0.573,0.824,0.0,0.0,42929.0,18236.0,1.0
p_pain[213],0.233,0.063,0.117,0.348,0.0,0.0,25968.0,13769.0,1.0
p_pain[214],0.98,0.013,0.956,0.998,0.0,0.0,38839.0,18676.0,1.0
p_pain[215],0.172,0.061,0.066,0.286,0.0,0.0,25735.0,14128.0,1.0
p_pain[216],0.768,0.056,0.664,0.868,0.0,0.0,46982.0,18291.0,1.0
p_pain[217],0.95,0.024,0.906,0.987,0.0,0.0,40432.0,18378.0,1.0
p_pain[218],0.13,0.057,0.034,0.234,0.0,0.0,25639.0,14618.0,1.0
p_pain[219],0.928,0.03,0.871,0.978,0.0,0.0,43751.0,18608.0,1.0
p_pain[220],0.326,0.057,0.221,0.435,0.0,0.0,26702.0,13553.0,1.0
p_pain[221],0.474,0.038,0.404,0.545,0.0,0.0,31108.0,14607.0,1.0
p_pain[222],0.982,0.012,0.96,0.998,0.0,0.0,34057.0,18684.0,1.0
p_pain[223],0.664,0.047,0.578,0.754,0.0,0.0,45253.0,18827.0,1.0
p_pain[224],0.98,0.013,0.956,0.998,0.0,0.0,38839.0,18676.0,1.0
p_pain[225],0.366,0.082,0.214,0.517,0.0,0.0,28976.0,14914.0,1.0
p_pain[226],0.474,0.038,0.404,0.545,0.0,0.0,31108.0,14607.0,1.0
p_pain[227],0.787,0.038,0.717,0.86,0.0,0.0,43751.0,18608.0,1.0
p_pain[228],0.935,0.026,0.887,0.98,0.0,0.0,36295.0,18962.0,1.0
p_pain[229],0.986,0.01,0.968,0.999,0.0,0.0,36739.0,18795.0,1.0
p_pain[230],0.968,0.018,0.935,0.994,0.0,0.0,36991.0,18698.0,1.0
p_pain[231],0.901,0.038,0.832,0.969,0.0,0.0,46462.0,18124.0,1.0
p_pain[232],0.928,0.03,0.871,0.978,0.0,0.0,43751.0,18608.0,1.0
p_pain[233],0.698,0.068,0.573,0.824,0.0,0.0,42929.0,18236.0,1.0
p_pain[234],0.991,0.007,0.978,0.999,0.0,0.0,34858.0,18683.0,1.0
p_pain[235],0.95,0.024,0.906,0.987,0.0,0.0,40432.0,18378.0,1.0
p_pain[236],0.233,0.063,0.117,0.348,0.0,0.0,25968.0,13769.0,1.0
p_pain[237],0.326,0.057,0.221,0.435,0.0,0.0,26702.0,13553.0,1.0
p_pain[238],0.888,0.035,0.822,0.951,0.0,0.0,42288.0,18703.0,1.0
p_pain[239],0.995,0.005,0.986,1.0,0.0,0.0,32983.0,18708.0,1.0
p_pain[240],0.768,0.056,0.664,0.868,0.0,0.0,46982.0,18291.0,1.0
p_pain[241],0.55,0.061,0.436,0.665,0.0,0.0,35620.0,16890.0,1.0
p_pain[242],0.45,0.074,0.31,0.585,0.0,0.0,31108.0,14607.0,1.0
p_pain[243],0.832,0.045,0.744,0.909,0.0,0.0,47002.0,18386.0,1.0
p_pain[244],0.172,0.061,0.066,0.286,0.0,0.0,25735.0,14128.0,1.0
p_pain[245],0.972,0.017,0.941,0.997,0.0,0.0,41075.0,18338.0,1.0
p_pain[246],0.13,0.057,0.034,0.234,0.0,0.0,25639.0,14618.0,1.0
p_pain[247],0.991,0.007,0.979,1.0,0.0,0.0,35993.0,18640.0,1.0
p_pain[248],0.813,0.054,0.711,0.909,0.0,0.0,34355.0,19586.0,1.0
p_pain[249],0.424,0.061,0.311,0.542,0.0,0.0,23029.0,13656.0,1.0
p_pain[250],0.54,0.075,0.399,0.682,0.0,0.0,25375.0,15986.0,1.0
p_pain[251],0.082,0.04,0.019,0.158,0.0,0.0,23592.0,13845.0,1.0
p_pain[252],0.405,0.039,0.331,0.476,0.0,0.0,22326.0,13594.0,1.0
p_pain[253],0.115,0.047,0.037,0.202,0.0,0.0,23388.0,13916.0,1.0
p_pain[254],0.167,0.052,0.075,0.264,0.0,0.0,23099.0,13610.0,1.0
p_pain[255],0.94,0.028,0.887,0.984,0.0,0.0,39324.0,18907.0,1.0
p_pain[256],0.32,0.068,0.195,0.45,0.0,0.0,22326.0,13594.0,1.0
p_pain[257],0.866,0.043,0.784,0.94,0.0,0.0,37575.0,18757.0,1.0
p_pain[258],0.983,0.011,0.963,0.998,0.0,0.0,37772.0,18597.0,1.0
p_pain[259],0.826,0.041,0.748,0.902,0.0,0.0,38719.0,18979.0,1.0
p_pain[260],0.905,0.031,0.845,0.958,0.0,0.0,38786.0,18935.0,1.0
p_pain[261],0.253,0.052,0.155,0.351,0.0,0.0,22661.0,13735.0,1.0
p_pain[262],0.945,0.024,0.9,0.985,0.0,0.0,39107.0,19229.0,1.0
p_pain[263],0.735,0.052,0.639,0.833,0.0,0.0,33263.0,19953.0,1.0
p_pain[264],0.972,0.016,0.943,0.996,0.0,0.0,38994.0,19217.0,1.0
p_pain[265],0.971,0.016,0.941,0.995,0.0,0.0,37064.0,18120.0,1.0
p_pain[266],0.241,0.069,0.115,0.37,0.0,0.0,22288.0,13682.0,1.0
p_pain[267],0.958,0.022,0.917,0.991,0.0,0.0,39563.0,19061.0,1.0
p_pain[268],0.559,0.048,0.472,0.652,0.0,0.0,26783.0,17243.0,1.0
p_pain[269],0.637,0.064,0.516,0.754,0.0,0.0,28596.0,18980.0,1.0
p_pain[270],0.813,0.054,0.711,0.909,0.0,0.0,34355.0,19586.0,1.0
p_pain[271],0.115,0.047,0.037,0.202,0.0,0.0,23388.0,13916.0,1.0
p_pain[272],0.167,0.052,0.075,0.264,0.0,0.0,23099.0,13610.0,1.0
p_pain[273],0.972,0.016,0.943,0.996,0.0,0.0,38994.0,19217.0,1.0
p_pain[274],0.735,0.052,0.639,0.833,0.0,0.0,33263.0,19953.0,1.0
p_pain[275],0.91,0.033,0.845,0.965,0.0,0.0,39505.0,19200.0,1.0
p_pain[276],0.637,0.064,0.516,0.754,0.0,0.0,28596.0,18980.0,1.0
