,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[3486],0.997,0.003,0.992,1.0,0.0,0.0,26446.0,16793.0,1.0
p_pain[3487],0.639,0.059,0.533,0.754,0.0,0.0,27002.0,16986.0,1.0
p_pain[3488],0.865,0.042,0.786,0.942,0.0,0.0,31728.0,16869.0,1.0
p_pain[3489],0.783,0.035,0.716,0.849,0.0,0.0,26319.0,16650.0,1.0
p_pain[3490],0.743,0.033,0.683,0.806,0.0,0.0,28085.0,16057.0,1.0
p_pain[3491],0.928,0.028,0.875,0.975,0.0,0.0,26214.0,16556.0,1.0
p_pain[3492],0.852,0.036,0.782,0.918,0.0,0.0,29901.0,17161.0,1.0
p_pain[3493],0.993,0.006,0.982,1.0,0.0,0.0,26164.0,16492.0,1.0
p_pain[3494],0.483,0.118,0.267,0.709,0.001,0.001,22769.0,13991.0,1.0
p_pain[3495],0.995,0.004,0.988,1.0,0.0,0.0,27341.0,15873.0,1.0
p_pain[3496],0.213,0.092,0.059,0.388,0.001,0.001,20625.0,12999.0,1.0
p_pain[3497],0.074,0.049,0.007,0.163,0.0,0.0,20569.0,12961.0,1.0
p_pain[3498],0.972,0.016,0.944,0.996,0.0,0.0,26683.0,16496.0,1.0
p_pain[3499],0.991,0.007,0.979,1.0,0.0,0.0,26532.0,16689.0,1.0
p_pain[3500],0.998,0.003,0.993,1.0,0.0,0.0,26154.0,16530.0,1.0
p_pain[3501],0.767,0.088,0.606,0.921,0.001,0.0,27496.0,17276.0,1.0
p_pain[3502],0.987,0.01,0.969,0.999,0.0,0.0,29661.0,17067.0,1.0
p_pain[3503],0.92,0.044,0.84,0.987,0.0,0.0,31292.0,18302.0,1.0
p_pain[3504],0.985,0.01,0.967,0.999,0.0,0.0,27721.0,15812.0,1.0
p_pain[3505],0.783,0.035,0.716,0.849,0.0,0.0,26319.0,16650.0,1.0
p_pain[3506],0.995,0.004,0.988,1.0,0.0,0.0,27341.0,15873.0,1.0
p_pain[3507],0.852,0.036,0.782,0.918,0.0,0.0,29901.0,17161.0,1.0
p_pain[3508],0.92,0.044,0.84,0.987,0.0,0.0,31292.0,18302.0,1.0
p_pain[3509],0.987,0.01,0.969,0.999,0.0,0.0,29661.0,17067.0,1.0
p_pain[3510],0.324,0.064,0.202,0.442,0.0,0.0,20590.0,12944.0,1.0
p_pain[3511],0.993,0.006,0.982,1.0,0.0,0.0,26164.0,16492.0,1.0
p_pain[3512],0.997,0.003,0.992,1.0,0.0,0.0,26446.0,16793.0,1.0
p_pain[3513],0.991,0.007,0.979,1.0,0.0,0.0,26532.0,16689.0,1.0
p_pain[3514],0.611,0.029,0.556,0.665,0.0,0.0,30250.0,17993.0,1.0
p_pain[3515],0.767,0.088,0.606,0.921,0.001,0.0,27496.0,17276.0,1.0
p_pain[3516],0.953,0.022,0.911,0.988,0.0,0.0,28393.0,16297.0,1.0
p_pain[3517],0.998,0.003,0.993,1.0,0.0,0.0,26154.0,16530.0,1.0
p_pain[3518],0.074,0.049,0.007,0.163,0.0,0.0,20569.0,12961.0,1.0
p_pain[3519],0.743,0.033,0.683,0.806,0.0,0.0,28085.0,16057.0,1.0
p_pain[3520],0.972,0.016,0.944,0.996,0.0,0.0,26683.0,16496.0,1.0
p_pain[3521],0.928,0.028,0.875,0.975,0.0,0.0,26214.0,16556.0,1.0
p_pain[3522],0.483,0.118,0.267,0.709,0.001,0.001,22769.0,13991.0,1.0
p_pain[3523],0.639,0.059,0.533,0.754,0.0,0.0,27002.0,16986.0,1.0
p_pain[3524],0.977,0.014,0.952,0.997,0.0,0.0,26180.0,16520.0,1.0
p_pain[3525],0.957,0.022,0.916,0.992,0.0,0.0,30728.0,17451.0,1.0
p_pain[3526],0.865,0.042,0.786,0.942,0.0,0.0,31728.0,16869.0,1.0
p_pain[3527],0.912,0.03,0.855,0.965,0.0,0.0,26993.0,16085.0,1.0
p_pain[3528],0.213,0.092,0.059,0.388,0.001,0.001,20625.0,12999.0,1.0
p_pain[3529],0.972,0.016,0.944,0.996,0.0,0.0,26683.0,16496.0,1.0
p_pain[3530],0.998,0.003,0.993,1.0,0.0,0.0,26154.0,16530.0,1.0
p_pain[3531],0.957,0.022,0.916,0.992,0.0,0.0,30728.0,17451.0,1.0
p_pain[3532],0.767,0.088,0.606,0.921,0.001,0.0,27496.0,17276.0,1.0
p_pain[3533],0.783,0.035,0.716,0.849,0.0,0.0,26319.0,16650.0,1.0
p_pain[3534],0.953,0.022,0.911,0.988,0.0,0.0,28393.0,16297.0,1.0
p_pain[3535],0.928,0.028,0.875,0.975,0.0,0.0,26214.0,16556.0,1.0
p_pain[3536],0.865,0.042,0.786,0.942,0.0,0.0,31728.0,16869.0,1.0
p_pain[3537],0.985,0.01,0.967,0.999,0.0,0.0,27721.0,15812.0,1.0
p_pain[3538],0.987,0.01,0.969,0.999,0.0,0.0,29661.0,17067.0,1.0
p_pain[3539],0.639,0.059,0.533,0.754,0.0,0.0,27002.0,16986.0,1.0
p_pain[3540],0.743,0.033,0.683,0.806,0.0,0.0,28085.0,16057.0,1.0
p_pain[3541],0.92,0.044,0.84,0.987,0.0,0.0,31292.0,18302.0,1.0
p_pain[3542],0.611,0.029,0.556,0.665,0.0,0.0,30250.0,17993.0,1.0
p_pain[3543],0.993,0.006,0.982,1.0,0.0,0.0,26164.0,16492.0,1.0
p_pain[3544],0.483,0.118,0.267,0.709,0.001,0.001,22769.0,13991.0,1.0
p_pain[3545],0.074,0.049,0.007,0.163,0.0,0.0,20569.0,12961.0,1.0
p_pain[3546],0.852,0.036,0.782,0.918,0.0,0.0,29901.0,17161.0,1.0
p_pain[3547],0.991,0.007,0.979,1.0,0.0,0.0,26532.0,16689.0,1.0
p_pain[3548],0.997,0.003,0.992,1.0,0.0,0.0,26446.0,16793.0,1.0
p_pain[3549],0.324,0.064,0.202,0.442,0.0,0.0,20590.0,12944.0,1.0
p_pain[3550],0.912,0.03,0.855,0.965,0.0,0.0,26993.0,16085.0,1.0
p_pain[3551],0.977,0.014,0.952,0.997,0.0,0.0,26180.0,16520.0,1.0
p_pain[3552],0.995,0.004,0.988,1.0,0.0,0.0,27341.0,15873.0,1.0
p_pain[3553],0.852,0.036,0.782,0.918,0.0,0.0,29901.0,17161.0,1.0
p_pain[3554],0.767,0.088,0.606,0.921,0.001,0.0,27496.0,17276.0,1.0
p_pain[3555],0.985,0.01,0.967,0.999,0.0,0.0,27721.0,15812.0,1.0
p_pain[3556],0.743,0.033,0.683,0.806,0.0,0.0,28085.0,16057.0,1.0
p_pain[3557],0.92,0.044,0.84,0.987,0.0,0.0,31292.0,18302.0,1.0
