participant,painstim,moneystim,all_trials_rewards,painlevel,painlevel_J,leftstim,rightstim,acceptside,acceptkey,accepted,choice_resp.keys,choice_resp.rt,blocks.thisRepN,trials.thisN,TaskName,P1,P2,P3,P4,P5,fail_ma,fixduration,moneylevel,rt,response,subj_idx,acceptance_pair,OV_value,Abs_value,OV_Money_Pain,Abs_Money_Pain,fixduration,moneylevel,sv_money,sv_pain,sv_both,p_pain_all
sub-002,p1,m1,,1,20500.0,stimuli/p1.png,stimuli/m1.png,right,m,1.0,m,0.5671124000000418,2.0,8.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,1,0.5671124000000418,1.0,sub-002,I,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,1.7,1,1,0.2333333333333325,-0.7666666666666675,1.0
sub-002,p3,m3,,3,41500.0,stimuli/m3.png,stimuli/p3.png,right,m,1.0,m,0.5069935000010446,2.0,9.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,3,0.5069935000010446,1.0,sub-002,I,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,1.5,3,3,0.6999999999999974,-2.300000000000002,1.0
sub-002,p5,m2,,5,66000.0,stimuli/m2.png,stimuli/p5.png,right,m,1.0,m,0.5167516999990767,2.0,10.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,2,0.5167516999990767,1.0,sub-002,P,high_OV,high_abs,h_OV_h_pain,high_abs_h_pain,1.8,2,2,1.166666666666662,-0.8333333333333377,1.0
sub-002,p2,m1,,2,30500.0,stimuli/m1.png,stimuli/p2.png,right,m,1.0,m,0.5335536999991746,2.0,11.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,1,0.5335536999991746,1.0,sub-002,P,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,2.0,1,1,0.466666666666665,-0.533333333333335,1.0
sub-002,p2,m3,,2,30500.0,stimuli/p2.png,stimuli/m3.png,right,m,1.0,m,0.4881967999990593,2.0,12.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,3,0.4881967999990593,1.0,sub-002,M,low_OV,low_abs,low_OV_h_money,low_abs_h_money,1.7,3,3,0.466666666666665,-2.533333333333335,1.0
sub-002,p4,m5,,4,53000.0,stimuli/m5.png,stimuli/p4.png,right,m,1.0,m,0.5932035000005271,2.0,13.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,5,0.5932035000005271,1.0,sub-002,M,high_OV,low_abs,h_OV_h_money,low_abs_h_money,1.9,5,5,0.9333333333333299,-4.06666666666667,1.0
sub-002,p3,m1,,3,41500.0,stimuli/p3.png,stimuli/m1.png,right,m,1.0,m,0.6822682000001805,2.0,14.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,1,0.6822682000001805,1.0,sub-002,P,low_OV,mid_abs,low_OV_h_pain,mid_abs,2.0,1,1,0.6999999999999974,-0.3000000000000026,1.0
sub-002,p5,m1,,5,66000.0,stimuli/m1.png,stimuli/p5.png,right,m,1.0,m,0.4931909000006271,2.0,15.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,1,0.4931909000006271,1.0,sub-002,P,high_OV,high_abs,h_OV_h_pain,high_abs_h_pain,1.8,1,1,1.166666666666662,0.1666666666666623,1.0
sub-002,p5,m3,,5,66000.0,stimuli/m3.png,stimuli/p5.png,right,m,1.0,m,0.6877876999988075,2.0,16.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.6,3,0.6877876999988075,1.0,sub-002,P,high_OV,mid_abs,h_OV_h_pain,mid_abs,1.6,3,3,1.166666666666662,-1.833333333333338,1.0
sub-002,p4,m1,,4,53000.0,stimuli/m1.png,stimuli/p4.png,right,m,1.0,m,0.5969356000005064,2.0,17.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,1,0.5969356000005064,1.0,sub-002,P,low_OV,high_abs,low_OV_h_pain,high_abs_h_pain,1.9,1,1,0.9333333333333299,-0.0666666666666701,1.0
