participant;painstim;moneystim;all_trials_rewards;painlevel;painlevel_J;leftstim;rightstim;acceptside;acceptkey;accepted;choice_resp.keys;choice_resp.rt;blocks.thisRepN;trials.thisN;TaskName;P1;P2;P3;P4;P5;fail_ma;fixduration;moneylevel
sub-002;p4;m5;;4.0;53000.0;stimuli/m5.png;stimuli/p4.png;right;m;1.0;m;0.8522302000001218;4.0;19.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;5.0
sub-002;p1;m3;;1.0;20500.0;stimuli/p1.png;stimuli/m3.png;right;m;1.0;m;1.2107565000005711;4.0;20.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;3.0
sub-002;p5;m5;;5.0;66000.0;stimuli/m5.png;stimuli/p5.png;right;m;1.0;m;0.7517984999994951;4.0;21.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;5.0
sub-002;p1;m2;;1.0;20500.0;stimuli/m2.png;stimuli/p1.png;right;m;1.0;m;0.7093295999984548;4.0;22.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;2.0
sub-002;p1;m1;;1.0;20500.0;stimuli/m1.png;stimuli/p1.png;right;m;1.0;m;0.5869326000010915;4.0;23.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;1.0
sub-002;p4;m3;;4.0;53000.0;stimuli/p4.png;stimuli/m3.png;right;m;1.0;m;0.8535441999993054;4.0;24.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;3.0
sub-004;p1;m1;;1.0;2500.0;stimuli/m1.png;stimuli/p1.png;right;m;0.0;;;0.0;0.0;decision;25.0;35.0;45.0;55.0;70.0;700.0;1.5;1.0
sub-004;p5;m4;;5.0;7000.0;stimuli/m4.png;stimuli/p5.png;right;m;1.0;m;1.7301915000007284;0.0;1.0;decision;25.0;35.0;45.0;55.0;70.0;700.0;1.6;4.0
sub-004;p3;m3;;3.0;4500.0;stimuli/p3.png;stimuli/m3.png;right;m;1.0;m;1.1684452000008605;0.0;2.0;decision;25.0;35.0;45.0;55.0;70.0;700.0;1.7;3.0
sub-004;p4;m3;;4.0;5500.0;stimuli/p4.png;stimuli/m3.png;right;m;1.0;m;1.5461812000012287;0.0;3.0;decision;25.0;35.0;45.0;55.0;70.0;700.0;2.0;3.0
